,villes,count,regions,longitude,latitude
0,abong-mbang,1677,est,13.1717237,3.9884092
1,akom,1648,sud,11.3478925,2.6238505
2,akono,1652,centre,11.3281690,3.5015340
3,ambam,1656,sud,11.2669194,2.3850714
4,ayos,1654,centre,12.5244504,3.9031868
5,babadjou,1671,ouest,10.2050757,5.6786237
6,bafang,1694,ouest,10.1797480,5.1586640
7,bafia,1682,centre,11.2205928,4.7399331
8,bafoussam,2500,ouest,10.4217852,5.4758844
9,baham,1680,ouest,10.3684380,5.3346120
10,bamendjou,1667,ouest,10.3312054,5.3894025
11,bakem,1657,littoral,9.9652243,5.0195258
12,bakossi,1649,sud-ouest,9.5118695,4.6614768
13,baleng,1667,ouest,10.4100890,5.5173095
14,bali,1650,nord-ouest,10.0110260,5.8878970
15,balia,1666,nord,14.2005315,10.0862645
16,bamenda,1846,nord-ouest,10.1516505,5.9614117
17,galim,1667,ouest,10.3662130,5.6909862
18,bamendjou,1669,ouest,10.3312054,5.3894025
19,bana,1693,ouest,10.2758119,5.1487615
20,bangou,1667,ouest,10.3967165,5.2497379
21,bandjoun,1706,ouest,10.4121552,5.3748573
22,bangangté,1668,ouest,10.5235407,5.1396127
23,bangangte,1710,ouest,10.5235407,5.1396127
24,bangou,1701,ouest,10.3967165,5.2497379
25,bangangté,1667,ouest,10.5235407,5.1396127
26,bangangté,1667,ouest,10.5235407,5.1396127
27,penka-michel,1671,ouest,10.2413100,5.4683338
28,bare-bakem,1657,littoral,9.9652243,5.0195258
29,batcham,1669,ouest,10.2018416,5.5782259
30,batchenga,1652,centre,11.6543410,4.2866830
31,batouri,1711,est,14.3645181,4.4357583
32,bayangam,1667,ouest,10.4641635,5.2976647
33,bazou,1667,ouest,10.4687480,5.0628220
34,bekoko,1649,sud-ouest,8.8545736,4.9236454
35,belabo,1672,est,13.2909710,4.9203029
36,bertoua,1941,est,13.6843792,4.5776155
37,betare,1674,est,14.0863550,5.5884900
38,betare-oya,1673,est,14.0863550,5.5884900
39,bikok,1654,centre,11.4468288,3.6250830
40,binguela,1651,centre,11.4054985,3.7565823
41,biwong-bane,1648,sud,11.1474438,3.1272918
42,bonalea,1659,littoral,9.7386732,4.3547742
43,boumnyebel,1652,centre,10.8492783,3.8838870
44,buea,1871,sud-ouest,9.2315915,4.1567895
45,campo,1654,sud,9.8366672,2.3158462
46,diang,1672,est,13.3552820,4.5801290
47,dibamba,1653,littoral,10.0550596,4.0210724
48,dibombari,1660,littoral,9.6557900,4.1785040
49,dimako,1676,est,13.5779790,4.3786080
50,dizangue,1656,littoral,10.0180602,3.7465887
51,dja,1672,est,13.8800883,2.8856623
52,djohong,1669,adamaoua,14.6921310,6.8363627
53,djoum,1657,sud,12.6780673,2.6722719
54,nkong-zem,1671,ouest,10.1262832,5.4982136
55,douala,9682,littoral,9.7062018,4.0429389
56,doume,1673,est,12.8694087,3.8544125
57,dschang,1725,ouest,10.0533090,5.4469923
58,dzeng,1651,centre,11.8879870,3.7616600
59,ebolowa,1921,sud,11.1516632,2.9193840
60,ebone,1653,littoral,9.8941760,4.8790590
61,edea,1665,littoral,10.1265567,3.7990131
62,emana,1651,centre,11.3345541,4.2717683
63,fako,1648,sud-ouest,9.1849225,4.1021851
64,figuil,1672,nord,13.9599740,9.7605307
65,fokoue,1667,ouest,10.1240240,5.3663630
66,fotokol,1663,extreme-nord,14.2246920,12.3767720
67,foumban,1709,ouest,10.8971603,5.7282262
68,foumbot,1682,ouest,10.6381470,5.5108610
69,garou,1953,adamaoua,13.5880787,7.3338944
70,garoua,1951,nord,13.3934527,9.3070698
71,garoua boulai,1681,est,14.5471591,5.8948457
72,kekem,1681,ouest,10.0193090,5.1576710
73,kotto,1653,littoral,9.7101283,4.0640615
74,kouoptamo,1667,ouest,10.6122387,5.6557267
75,kousseri,1727,extreme-nord,15.0191262,12.0831175
76,koutaba,1667,ouest,10.7609170,5.6511460
77,kribi,1794,sud,9.9126989,2.9434098
78,kumba,1658,sud-ouest,9.4409446,4.6378368
79,kumbo,1649,nord-ouest,10.6867788,6.2108889
80,kye-ossi,1648,sud,11.3373408,2.1853309
81,limbe,1700,sud-ouest,9.2070580,4.0102890
82,logone birni,1664,extreme-nord,15.1039120,11.7806270
83,lokomo,1673,est,15.3243853,2.6989487
84,lokoundje,1648,sud,10.5799842,3.1336600
85,lomie,1673,est,13.6182935,3.1598199
86,loum,1661,littoral,9.7274994,4.7200545
87,magba,1677,ouest,11.2251710,5.9657420
88,makary,1669,extreme-nord,14.4564800,12.5771430
89,makenene,1652,centre,10.8086309,4.8826332
90,malembe,1672,est,15.3444088,2.1415619
91,malentouen,1668,ouest,11.1178029,5.7127189
92,mambele,1678,est,15.4009116,2.4159112
93,mamfe,1648,sud-ouest,9.3152110,5.7527723
94,mandjou,1672,est,13.7395048,4.5938842
95,manjo,1669,littoral,9.8230312,4.8475223
